FundamentalTime,FundamentalValue
2020-08-28 10:22:22.659489649,100358.0
2020-08-28 10:22:30.963555228,100274.0
2020-08-28 10:22:33.234664606,100300.0
2020-08-28 10:22:33.817540428,100305.0
2020-08-28 10:22:34.275112595,100302.0
2020-08-28 10:22:36.821270298,100330.0
2020-08-28 10:22:37.701194767,100330.0
2020-08-28 10:22:38.775428373,100309.0
2020-08-28 10:22:40.655882311,100288.0
2020-08-28 10:22:45.102750254,100287.0
2020-08-28 10:22:52.589236652,100223.0
2020-08-28 10:22:55.117130626,100248.0
2020-08-28 10:22:57.995711042,100260.0
2020-08-28 10:23:02.172597086,100204.0
2020-08-28 10:23:04.696027344,100175.0
2020-08-28 10:23:05.227818508,100171.0
2020-08-28 10:23:05.383193438,100175.0
2020-08-28 10:23:09.497531730,100165.0
2020-08-28 10:23:10.351084891,100158.0
2020-08-28 10:23:10.658315580,100158.0
2020-08-28 10:23:11.423034199,100151.0
2020-08-28 10:23:13.137711969,100155.0
2020-08-28 10:23:18.100180610,100263.0
2020-08-28 10:23:18.209481960,100263.0
2020-08-28 10:23:21.231988412,100291.0
2020-08-28 10:23:21.909507026,100282.0
2020-08-28 10:23:27.484316524,100326.0
2020-08-28 10:23:36.564993746,100346.0
2020-08-28 10:23:40.865909459,100297.0
2020-08-28 10:23:41.479243477,100301.0
2020-08-28 10:23:44.769619558,100322.0
2020-08-28 10:23:47.384943377,100289.0
2020-08-28 10:23:48.791373704,100250.0
2020-08-28 10:23:50.747324009,100239.0
2020-08-28 10:23:52.431142849,100248.0
2020-08-28 10:24:00.083991367,100376.0
2020-08-28 10:24:04.837429838,100440.0
2020-08-28 10:24:06.289857617,100438.0
2020-08-28 10:24:13.560944138,100486.0
2020-08-28 10:24:16.303986731,100421.0
2020-08-28 10:24:16.411755533,100422.0
2020-08-28 10:24:23.689395484,100532.0
2020-08-28 10:24:25.255999609,100522.0
2020-08-28 10:24:26.496562213,100520.0
2020-08-28 10:24:29.100718023,100534.0
2020-08-28 10:24:29.482165978,100531.0
2020-08-28 10:24:32.198523903,100505.0
2020-08-28 10:24:37.390693036,100503.0
2020-08-28 10:24:38.580567814,100492.0
2020-08-28 10:24:39.059878116,100489.0
2020-08-28 10:24:39.930805958,100480.0
2020-08-28 10:24:44.153673684,100526.0
2020-08-28 10:24:55.237521881,100622.0
2020-08-28 10:24:57.618959099,100627.0
2020-08-28 10:24:59.808018761,100637.0
2020-08-28 10:25:00.051402070,100637.0
2020-08-28 10:25:07.087406568,100642.0
2020-08-28 10:25:09.063518827,100619.0
2020-08-28 10:25:09.551427855,100619.0
2020-08-28 10:25:16.421357895,100631.0
2020-08-28 10:25:17.521670608,100611.0
2020-08-28 10:25:22.166358444,100614.0
2020-08-28 10:25:23.920163794,100603.0
2020-08-28 10:25:26.002233073,100577.0
2020-08-28 10:25:27.657681910,100589.0
2020-08-28 10:25:27.991952853,100591.0
2020-08-28 10:25:36.283594351,100592.0
2020-08-28 10:25:38.475641140,100528.0
2020-08-28 10:25:40.634705205,100524.0
2020-08-28 10:25:42.412314835,100503.0
2020-08-28 10:25:43.202718100,100498.0
2020-08-28 10:25:45.831990129,100493.0
2020-08-28 10:25:45.844380269,100493.0
2020-08-28 10:25:54.888459404,100462.0
2020-08-28 10:26:02.740063013,100463.0
2020-08-28 10:26:11.037258010,100423.0
2020-08-28 10:26:11.911798722,100423.0
2020-08-28 10:26:16.874528867,100403.0
2020-08-28 10:26:16.900960191,100403.0
2020-08-28 10:26:22.400901187,100326.0
2020-08-28 10:26:22.552448051,100327.0
2020-08-28 10:26:27.611545818,100409.0
2020-08-28 10:26:28.019284396,100412.0
2020-08-28 10:26:28.470464649,100412.0
2020-08-28 10:26:30.306789969,100440.0
2020-08-28 10:26:31.900250716,100441.0
2020-08-28 10:26:34.110289037,100441.0
2020-08-28 10:26:41.624226234,100428.0
2020-08-28 10:26:46.549513939,100444.0
2020-08-28 10:26:47.175749989,100445.0
2020-08-28 10:26:47.378734254,100443.0
2020-08-28 10:26:54.830360767,100476.0
2020-08-28 10:26:58.639597566,100445.0
2020-08-28 10:27:02.528535304,100410.0
2020-08-28 10:27:03.983584704,100411.0
2020-08-28 10:27:06.485081575,100419.0
2020-08-28 10:27:15.894133496,100315.0
2020-08-28 10:27:15.992890371,100314.0
2020-08-28 10:27:17.794588529,100322.0
2020-08-28 10:27:23.898559397,100316.0
2020-08-28 10:27:31.258915299,100330.0
